,tweet,Cleaned_tweet,POS_tagged,Lemma,stemming
20,@MaarifWizdanul @republikaonline #percumalaporpolisi, maarifwizdanul republikaonline percumalaporpolisi,"[('maarifwizdanul', 'n'), ('republikaonline', 'n'), ('percumalaporpolisi', 'n')]",  maarifwizdanul republikaonline percumalaporpolisi,maarifwizdanul republikaonline percumalaporpolisi
21,@SelasaPagi_ Edan!!!  #percumalaporpolisi, selasapagi edan percumalaporpolisi,"[('selasapagi', 'a'), ('edan', 'n'), ('percumalaporpolisi', 'n')]",  selasapagi edan percumalaporpolisi,selasapagi edan percumalaporpolisi
22,Biadap yang berseragam #percumalaporpolisi,biadap yang berseragam percumalaporpolisi,"[('biadap', 'n'), ('berseragam', 'n'), ('percumalaporpolisi', 'n')]",  biadap berseragam percumalaporpolisi,biadap seragam percumalaporpolisi
23,#percumalaporpolisi #SmackDown #SmackdownLive, percumalaporpolisi smackdown smackdownlive,"[('percumalaporpolisi', 'n'), ('smackdown', 'a'), ('smackdownlive', 'n')]",  percumalaporpolisi smackdown smackdownlive,percumalaporpolisi smackdown smackdownlive
24,@tempodotco Ga percaya  #percumalaporpolisi #polisisesuaiprosedur  #polisihumanis, tempodotco ga percaya percumalaporpolisi polisisesuaiprosedur polisihumanis,"[('tempodotco', 'n'), ('ga', 'n'), ('percaya', 'n'), ('percumalaporpolisi', 'n'), ('polisisesuaiprosedur', 'n'), ('polisihumanis', 'n')]",  tempodotco ga percaya percumalaporpolisi polisisesuaiprosedur polisihumanis,tempodotco ga percaya percumalaporpolisi polisisesuaiprosedur polisihumanis
25,@AksiLangsung #PolriTegasHumanis  #PercumaLaporpolisi, aksilangsung polritegashumanis percumalaporpolisi,"[('aksilangsung', 'n'), ('polritegashumanis', 'n'), ('percumalaporpolisi', 'n')]",  aksilangsung polritegashumanis percumalaporpolisi,aksilangsung polritegashumanis percumalaporpolisi
26,Polisi Bantah Pakai Buzzer Lawan Tagar #PercumaLaporPolisi  https://t.co/IvsfWTwDyE,polisi bantah pakai buzzer lawan tagar percumalaporpolisi ,"[('polisi', 'n'), ('bantah', 'n'), ('pakai', 'n'), ('buzzer', 'n'), ('lawan', 'n'), ('tagar', 'n'), ('percumalaporpolisi', 'n')]",  polisi bantah pakai buzzer lawan tagar percumalaporpolisi,polisi bantah pakai buzzer lawan tagar percumalaporpolisi
27,#percumalaporpolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
28,Mungkin dulu dia cita-citanya pengen jadi pemain MMA tapi di paksa sama ortunya suruh jadi polisi. Makannya dia begitu 🤣   #SmackDown  #percumalaporpolisi #polisisesuaiprosedur,mungkin dulu dia cita citanya pengen jadi pemain mma tapi di paksa sama ortunya suruh jadi polisi makannya dia begitu smackdown percumalaporpolisi polisisesuaiprosedur,"[('cita', 'n'), ('citanya', 'n'), ('pengen', 'n'), ('pemain', 'v'), ('mma', 'n'), ('paksa', 'n'), ('ortunya', 'n'), ('suruh', 'n'), ('polisi', 'n'), ('makannya', 'n'), ('smackdown', 'a'), ('percumalaporpolisi', 'n'), ('polisisesuaiprosedur', 'n')]",  cita citanya pengen pemain mma paksa ortunya suruh polisi makannya smackdown percumalaporpolisi polisisesuaiprosedur,cita cita ken main mma paksa ortunya suruh polisi makan smackdown percumalaporpolisi polisisesuaiprosedur
29,"Kinerja buruk polisi melahirkan tagar #PercumaLaporPolisi , bukannya evaluasi malah disambut dg tagar tandingan #PolisiTegasHumanis . Sekarang muncul aksi smackdown polisi mau ditepis lagi lewat tagar?  https://t.co/YOeRQkzVUV",kinerja buruk polisi melahirkan tagar percumalaporpolisi bukannya evaluasi malah disambut dg tagar tandingan polisitegashumanis sekarang muncul aksi smackdown polisi mau ditepis lagi lewat tagar ,"[('kinerja', 'n'), ('buruk', 'n'), ('polisi', 'n'), ('melahirkan', 'n'), ('tagar', 'n'), ('percumalaporpolisi', 'n'), ('evaluasi', 'n'), ('disambut', 'n'), ('dg', 'n'), ('tagar', 'n'), ('tandingan', 'a'), ('polisitegashumanis', 'n'), ('muncul', 'n'), ('aksi', None), ('smackdown', 'a'), ('polisi', 'n'), ('ditepis', 'n'), ('tagar', 'n')]",  kinerja buruk polisi melahirkan tagar percumalaporpolisi evaluasi disambut dg tagar tandingan polisitegashumanis muncul aksi smackdown polisi ditepis tagar,kerja buruk polisi lahir tagar percumalaporpolisi evaluasi sambut dg tagar tanding polisitegashumanis muncul aksi smackdown polisi tepis tagar
30,#percumalaporpolisi #acab, percumalaporpolisi acab,"[('percumalaporpolisi', 'n'), ('acab', 'n')]",  percumalaporpolisi acab,percumalaporpolisi acab
31,"Lagi trending #percumalaporpolisi eh ini ada video polisi ""ngebanting"" mahasiswa ujukrasa. Mantap Oknum Pak Pol",lagi trending percumalaporpolisi eh ini ada video polisi ngebanting mahasiswa ujukrasa mantap oknum pak pol,"[('trending', 'v'), ('percumalaporpolisi', 'a'), ('eh', 'n'), ('video', 'n'), ('polisi', 'n'), ('ngebanting', 'v'), ('mahasiswa', 'a'), ('ujukrasa', 'a'), ('mantap', 'n'), ('oknum', 'n'), ('pol', 'n')]",  trend percumalaporpolisi eh video polisi ngebanting mahasiswa ujukrasa mantap oknum pol,trend percumalaporpolisi eh video polisi ngebanting mahasiswa ujukrasa mantap oknum pol
32,@republikaonline #PercumaAdaPolisi #percumalaporpolisi, republikaonline percumaadapolisi percumalaporpolisi,"[('republikaonline', 'n'), ('percumaadapolisi', 'n'), ('percumalaporpolisi', 'n')]",  republikaonline percumaadapolisi percumalaporpolisi,republikaonline percumaadapolisi percumalaporpolisi
33,#PercumaLaporPolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
34,"Wih karang lagi musim tandinggannya kemaren #percumalaporpolisi karang ada tagar #polisisesuaiprosedur,apakah ini bener2 dari rakyat yg pro polisi atu cuma sekedar saibgan yg ngendaliin robot atu buzer #polisisesuaiprosedur",wih karang lagi musim tandinggannya kemaren percumalaporpolisi karang ada tagar polisisesuaiprosedur apakah ini bener dari rakyat yg pro polisi atu cuma sekedar saibgan yg ngendaliin robot atu buzer polisisesuaiprosedur,"[('wih', 'n'), ('karang', 'n'), ('musim', 'n'), ('tandinggannya', 'n'), ('kemaren', 'n'), ('percumalaporpolisi', 'v'), ('karang', 'v'), ('tagar', 'n'), ('polisisesuaiprosedur', 'n'), ('bener', 'n'), ('rakyat', 'n'), ('yg', 'a'), ('pro', 'a'), ('polisi', None), ('atu', 'n'), ('sekedar', 'n'), ('saibgan', 'a'), ('yg', 'r'), ('ngendaliin', 'a'), ('robot', 'n'), ('atu', 'n'), ('buzer', 'n'), ('polisisesuaiprosedur', 'n')]",  wih karang musim tandinggannya kemaren percumalaporpolisi karang tagar polisisesuaiprosedur bener rakyat yg pro polisi atu sekedar saibgan yg ngendaliin robot atu buzer polisisesuaiprosedur,wih karang musim tandinggannya kemaren percumalaporpolisi karang tagar polisisesuaiprosedur bener rakyat yg pro polisi atu dar saibgan yg ngendaliin robot atu buzer polisisesuaiprosedur
35,"This is both so sad &amp; sickening, it is maddeningly funny. #PercumaLaporPolisi, in every sense of its meaning.",this is both so sad amp sickening it is maddeningly funny percumalaporpolisi in every sense of its meaning ,"[('this', None), ('is', 'v'), ('both', None), ('so', 'r'), ('sad', 'a'), ('amp', 'n'), ('sickening', 'v'), ('it', None), ('is', 'v'), ('maddeningly', 'r'), ('funny', 'a'), ('percumalaporpolisi', 'n'), ('in', None), ('every', None), ('sense', 'n'), ('of', None), ('its', None), ('meaning', 'n')]",  this be both so sad amp sicken it be maddeningly funny percumalaporpolisi in every sense of its meaning,this be both so sad amp sicken it be maddeningly funny percumalaporpolisi in every sense of its meaning
36,"pas banget ada berita begini pas lagi disudutkan perkara #PercumaLaporPolisi. iya, Pak, kita tahu kok kerjanya #PolriSesuaiProsedur 😚",pas banget ada berita begini pas lagi disudutkan perkara percumalaporpolisi iya pak kita tahu kok kerjanya polrisesuaiprosedur ,"[('pas', 'n'), ('banget', 'n'), ('berita', 'n'), ('pas', 'n'), ('disudutkan', 'n'), ('perkara', 'n'), ('percumalaporpolisi', 'n'), ('iya', 'n'), ('kerjanya', 'n'), ('polrisesuaiprosedur', 'n')]",  pa banget berita pa disudutkan perkara percumalaporpolisi iya kerjanya polrisesuaiprosedur,pa banget berita pa sudut perkara percumalaporpolisi iya kerja polrisesuaiprosedur
37,#PercumaLaporPolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
