id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:07,700,,Keadilan sosial bagi seluruh rakyat indonesia (syarat dan ketentuan berlaku ) #PercumaLaporPolisi,in,['percumalaporpolisi'],[],1.43919E+18,1.43919E+18,Anriuye,Anri,7,9,https://twitter.com/Anriuye/status/1447020991255703553,[],[],0,,FALSE,1,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:07,700,,"1.Pro-kontra pnerimaan eks pgawai KPK  2. Kdekatan Wakil DPR sama Aziz  Udah, netizen tdk perlu bingung-  Perang ssungguhnya trjadi adlh antara POLRI dan KPK 🤣🤣🤣🤣🤣🤣  Yg lain2...behhhhh Alat untuk mnjatuhkan antar pihak saja  #PercumaLaporPolisi",in,['percumalaporpolisi'],[],1.29773E+18,1.29773E+18,RitaWeka,Corona_Gila,7,9,https://twitter.com/RitaWeka/status/1447020864445157381,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:07,700,,#PercumaLaporPolisi  https://t.co/xSL2ajfNA8,und,['percumalaporpolisi'],[],1.07562E+18,1.07562E+18,estvsitaba,estu,7,9,https://twitter.com/estvsitaba/status/1447020848204845057,[],['https://pbs.twimg.com/media/FBTZyc_UUAIny8N.jpg'],1,https://pbs.twimg.com/media/FBTZyc_UUAIny8N.jpg,FALSE,0,2,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:06,700,,"#PercumaLaporPolisi  Banyak bertele telenya apalagi pas mau datang aja uda beda pengayoman dan cara melaedeni tergantung orang yang serba punya atau tidak nya, belum lagi waktu mau buat surat dan segala bentuk lainnya, memang tumpul keatas tajam kebawah",in,['percumalaporpolisi'],[],1695656964,1695656964,Ulong_Fizur,Ulong Hafizur Rahman,7,9,https://twitter.com/Ulong_Fizur/status/1447020704415698946,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:05,700,,"⠀  Polisi Passwordnya: ""Melayani yang kaya, Mengayomi yang disorot kamera""  #bukanmaen #PercumaLaporPolisi ⠀⠀⠀    ⠀",in,"['bukanmaen', 'percumalaporpolisi']",[],1.19801E+18,1.19801E+18,panggilNicoL,™,7,9,https://twitter.com/panggilNicoL/status/1447020524995956742,[],[],0,,FALSE,1,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:03,700,,Banyak beredar #PercumaLaporPolisi   #BravoPolri kemana? 😅,in,"['percumalaporpolisi', 'bravopolri']",[],1610332890,1610332890,pikijul33,M. Zulfikar Auzan,7,9,https://twitter.com/pikijul33/status/1447020036426637312,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:03,700,,"Pernah kecelakaan di jalan nabrak ratu jalanan yg sembarangan belok. Ditolong sama warga, untung keduanya gpp. karena cmn lecet disuruh sama warga buat buru2 lanjut sebelum ada polisi nanti urusannya tambah ribet  #PercumaLaporPolisi",in,['percumalaporpolisi'],[],1.19251E+18,1.19251E+18,gawembengi,Rudi tabudi,7,9,https://twitter.com/gawembengi/status/1447019888908722178,[],[],0,,FALSE,1,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:01,700,,kalo.mau minta tolong. lapor Pemadam kebakaran enak kali ya #PercumaLaporPolisi,in,['percumalaporpolisi'],[],1.39521E+18,1.39521E+18,mrezabryan13,Muhammad Rezaa,7,9,https://twitter.com/mrezabryan13/status/1447019535769341958,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:01,700,,Perjaka gue hilang #PercumaLaporPolisi,in,['percumalaporpolisi'],[],1.42293E+18,1.42293E+18,AcehMERDEKA19,Aceh MERDEKA,7,9,https://twitter.com/AcehMERDEKA19/status/1447019509181665281,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44702E+18,1.44702E+18,1.63383E+12,10/10/2021 9:01,700,,punya duit di bela #PercumaLaporPolisi,in,['percumalaporpolisi'],[],9.41727E+17,9.41727E+17,Sagat79666746,jon otnos cucu pki,7,9,https://twitter.com/Sagat79666746/status/1447019500721754116,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
